292223	Dubai	25.0657	55.17128	1137347	דוביי	Dubai	פאראייניגטע אראבישע עמיראטן+UAE
1138958	Kabul	34.52813	69.17233	3043532	קאבול		אפגאניסטאן
3183875	Tirana	41.3275	19.81889	374801	טיראנא		
174991	Ararat	39.83069	44.70569	28832	אררט	Ararat	ארמעניע
616052	Yerevan	40.18111	44.51361	1093485	יערעוואן	Yerevan	ארמעניע
2240449	Luanda	-8.83682	13.23432	2776168	לואנדע	Luanda	
3432043	La Plata	-34.92145	-57.95453	694167	לא פלאטא	BA+Buenos Aires	ארגענטינע
3435910	Buenos Aires	-34.61315	-58.37723	13076300	בוענאס איירעס	CF	ארגענטינע
3860259	Córdoba	-31.4135	-64.18105	1428214	קארדאבע	CD+Córdoba	ארגענטינע
2766824	Salzburg	47.79941	13.04399	150269	זאלצבורג		
2771817	Mattersburg	47.73333	16.4	6448	מאטערסדארף	בורגנלאנד+Bgld	
2781520	Braunau am Inn	48.25628	13.04343	16403	בראונאו אם אין		
2073124	Darwin	-12.46113	130.84185	129062	דארווין	NT	אױסטראַליע+אויסטראליע
2147714	Sydney	-33.86785	151.20732	4627345	סידני	NSW	אױסטראַליע+אויסטראליע
2172517	Canberra	-35.28346	149.12807	367752	קאנבערא	ACT+Australian Capital Territory	אױסטראַליע+אויסטראליע
2174003	Brisbane	-27.46794	153.02809	2189878	בריזבן	QLD	אױסטראַליע+אויסטראליע
587084	Baku	40.37767	49.89201	1116513	באקו	Baki	אזערבאדזשאן+אזערביידזשאן
3191281	Sarajevo	43.84864	18.35644	696731	סאראיעווא	Federation of Bosnia and Herzegovina	באסניע און הערצעגאווינע
1185241	Dhaka	23.7104	90.40744	10356500	דאקא		באנגלאדעש
1205733	Chittagong	22.3384	91.83168	3920222	טשיטאגאנג		באנגלאדעש
2792413	Liège	50.63373	5.56749	182597	ליעזש	Wallonia+Walloon	
2803138	Antwerpen	51.21989	4.40346	459805	אנטווערפן		
2357048	Ouagadougou	12.36566	-1.53388	1086505	וואגאדוגו		בורקינע פאסא
727011	Sofia	42.69751	23.32415	1152556	סאפיע		בולגאריע
728193	Plovdiv	42.15	24.75	340494	פלאוודיוו		בולגאריע
425378	Bujumbura	-3.3822	29.3644	331700	בוזשומבורע	Bujumbura Mairie	
2392087	Porto-Novo	6.49646	2.60359	234168	פארטא-נאווא	Quémé	
3911925	La Paz	-16.5	-68.15	812799	לא פאז	La Paz	
3924610	Achacachi	-16.05	-68.68333	8447	אטשאקאטשי	La Paz	
3387604	Sirinhaém	-8.59083	-35.11611	40852	סירינהאַéם	PE	בראזיליע
3448439	São Paulo	-23.5475	-46.63611	10021295	סאו פאולא	SP+São Paulo	בראזיליע
3451190	Rio de Janeiro	-22.90642	-43.18223	6023699	ריא דע זשאנערא	RJ	בראזיליע
3463030	Foz do Iguaçu	-25.54778	-54.58806	293523	פאס דו איגוואסו	PR+Paraná	בראזיליע
3464975	Curitiba	-25.42778	-49.27306	1718421	קוריטיבא	PR+Paraná	בראזיליע
3469058	Brasília	-15.77972	-47.92972	2207718	בראזיליא	DF	בראזיליע
933773	Gaborone	-24.65451	25.90859	208411	גאבאראן		
620127	Vitebsk	55.1904	30.2049	342700	וויטעבסק	Vitsyebskaya Voblastsʼ	בעלארוס
620391	Vawkavysk	53.1561	24.4513	47300	וואלקאוויסק		בעלארוס
621048	Svislach	53.0368	24.0957	6886	סיסלעוויטש		בעלארוס
621266	Stowbtsy	53.4785	26.7434	15500	סטויפץ		בעלארוס
621741	Slutsk	53.0274	27.5597	62228	סלוצק		בעלארוס
621754	Slonim	53.0869	25.3163	51434	סלאנים		בעלארוס
622739	Rahachow	53.0934	30.0495	34700	ראגאטשאוו		בעלארוס
625128	Mir	53.4544	26.467	2500	מיר		בעלארוס
625144	Minsk	53.9	27.56667	1742124	מינסק		בעלארוס
625324	Mazyr	52.0495	29.2456	112137	מאזיר		בעלארוס
625665	Mahilyow	53.9168	30.3449	369200	מאהליב	Mahilyowskaya Voblastsʼ	בעלארוס
626081	Lida	53.88333	25.29972	98036	לידא		בעלארוס
626829	Kosava	52.7583	25.1554	2698	קאסעוו	Brestskaya Voblastsʼ	בעלארוס
626939	Karelichy	53.5648	26.1406	7800	קארעליץ		בעלארוס
627145	Kobryn	52.2138	24.3564	50691	קאברין	Brestskaya Voblastsʼ	בעלארוס
629634	Brest	52.09755	23.68775	300715	בריסק	Brestskaya Voblastsʼ	בעלארוס
3582672	Belmopan	17.25	-88.76667	13381	בעלמאפאן	Cayo	בעליז
6094817	Ottawa	45.41117	-75.69812	812129	אטאווא	אנטעריא+ON+Ontario	
6167865	Toronto	43.70011	-79.4163	2600000	טאראנטא	אנטעריא+ON+Ontario	
2314302	Kinshasa	-4.32758	15.31357	7785965	קינשאזע	Kinshasa	דעמאקראטישע רעפובליק פון קאנגא
2657896	Zürich	47.36667	8.55	341730	ציריך	ZH	
2658898	Saas-Fee	46.10805	7.92741	1611	סאס-פע		
2659601	Montreux	46.43301	6.91143	22897	מאנטרע	VD	
2659811	Luzern	47.05048	8.30635	57066	לוצערן		
2659836	Lugano	46.01008	8.96004	63000	לוגאנא	Cantone Ticino	
2661552	Bern	46.94809	7.44744	121631	בערן		
2661604	Basel	47.55839	7.57327	164488	באזעל+EAP+4000		
