616052	Yerevan	40.18111	44.51361	1093485	येरेवान	Yerevan	आर्मीनिया
2067119	Mandurah	-32.5269	115.7217	83294	मंदूरह	WA	
2068823	Kalgoorlie	-30.74614	121.4742	31107	कल्गूर्ली-बौल्डर	WA	
2070998	Geraldton	-28.77897	114.61459	26872	जेराल्डटन	WA	
2144528	Warrnambool	-38.38176	142.48799	33982	वारनाम्बूल	VIC	
2145110	Wagga Wagga	-35.12577	147.35375	46913	वाग्गा वाग्गा	NSW	
2146142	Townsville	-19.26639	146.80569	196219	टाउन्सविल	QLD	
2146268	Toowoomba	-27.56056	151.95386	131258	तूवूम्बा	QLD	
2147714	Sydney	-33.86785	151.20732	4627345	सिडनी	NSW	
2149645	Shepparton	-36.38047	145.39867	38773	शेपार्टन	VIC	
2151437	Rockhampton	-23.38032	150.50595	61724	रोकहाम्पटन	QLD	
2152659	Port Macquarie	-31.43084	152.90894	41491	पोर्ट मक्वारी	NSW	
2157698	Mildura	-34.18551	142.16251	30016	मिल्ड्युरा	VIC	
2159220	Mackay	-21.15345	149.16554	74219	मके	QLD	
2160063	Lismore	-28.81354	153.2773	30086	लिस्मोर	NSW	
2160517	Launceston	-41.43876	147.13467	106153	लॉनसेसटन	TAS	
2165798	Geelong	-38.14711	144.36069	226034	गीलोङ्ग	VIC	
2168305	Dubbo	-32.24295	148.60484	32327	डुब्बो	NSW	
2168943	Devonport	-41.17695	146.35152	19317	डेवोनपोर्ट+Devonport	TAS	
2171085	Coffs Harbour	-30.29626	153.11351	26353	कॉफ्स् हार्बर्	NSW	
2172517	Canberra	-35.28346	149.12807	367752	कैन्बेर्रा	ACT+Australian Capital Territory	
2172797	Cairns	-16.92304	145.76625	153075	कैर्न्स	QLD	
2173323	Bundaberg	-24.86621	152.3479	70826	बण्डाबर्ग	QLD	
2174003	Brisbane	-27.46794	153.02809	2189878	ब्रिस्बेन	QLD	
2176187	Bendigo	-36.75818	144.28024	100617	बेन्डिगो	VIC	
